role,first_name,last_name,email,phone_number,password,created
admin,dimitar,hristov,d@abv.bg,0884156033,1234,2021-05-24 21:30:37.397451
user,vladimir,hristov,v@mail.bg,8888889999,2222,2021-05-24 21:38:40.624541
admin,sonya,hristova,sss@abv.bg,122222,666,2021-05-24 21:42:55.790872
user,ivan,simeonov,i@abv.bg,4569876321,6395,2021-05-24 21:44:59.797622
user,ilia,petkov,iiiid@abv.bg,0888888888,5558,2021-06-14 13:32:11.157105
user,petranka,pavlova,aaa@abv.bg,123365874532.,9698,2021-06-14 10:35:50.143717
user,lop,hop,kiro@awe.com,458955,4785,14/06/2021
user,mkii,lnjkbgukn,ijbyuikl,kkbiubujnlkl,ihiohio,14.06.2021/Jun/06in
knkl,knbiyfyukjl,byuhvvkuygkhl,lkjiugyutcyg,huyjkl,oinubihujkl;,14.06.2021/13/47
dsad,ds,a,,saf,s,14.06.2021/13:48:30
